milservice,msndate,valid_aircraft_root,missionid,tgttype,resultsbda,VALIDATED_ROOT,AIRCRAFT_APPLICATION
USAF,1970-11-25,F-4,1407,AAA\37MM  CR MORE,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1971-09-09,F-4,5934,SAMPANS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-04-02,A-37,E010,TRENCH,DESTROYED,A-37,ATTACK
USAF,1972-08-09,A-37,6262,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1972-09-13,A-37,6221,FOX HOLES,DAMAGED,A-37,ATTACK
VNAF,1972-10-05,A-1,D323,AA SITE,DESTROYED,A-1,FIGHTER
USAF,1971-03-13,F-4,5960,23MM GUN SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1973-03-18,AC-130,6531,TRUCKS,DAMAGED,AC-130,ATTACK
VNAF,1970-12-25,A-1,D386,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1972-09-14,A-37,C206,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1970-12-01,A-37,E657,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1973-05-08,F-4,6800,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1971-09-30,F-5,D353,FOX HOLES,DESTROYED,F-5,FIGHTER
VNAF,1971-10-11,A-1,D308,TRENCH,DESTROYED,A-1,FIGHTER
VNAF,1972-02-01,A-37,E442,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-03-19,A-37,E415,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1973-01-13,F-4,7093,105MM GUN SITE,DAMAGED,F-4,"FIGHTER, BOMBER"
RAAF,1970-05-30,B-57,5012,FOX HOLES,DESTROYED,B-57,"TACTICAL, BOMBER"
RLAF,1970-10-19,T-28,7803,TRUCKS,DESTROYED,T-28,TRAIN
USAF,1971-04-29,F-4,5705,LANDING ZONE PREP,OBSERVED,F-4,"FIGHTER, BOMBER"
USAF,1973-03-19,A-7,6822,TRUCKS,DESTROYED,A-7,ATTACK
USAF,1970-01-24,F-4,0546,AAA\37MM  CR MORE,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-05-17,F-4,5817,MORTAR SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-07-10,F-4,7133,BULLDOZER,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1973-01-12,A-37,E406,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1971-04-02,F-4,0464,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1971-02-28,A-37,B533,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1971-11-14,A-37,E442,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1971-12-02,F-4,8674,BRIDGES,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-12-04,A-7,6055,FOX HOLES,DAMAGED,A-7,ATTACK
USAF,1970-05-26,F-105,0410,CAUSEWAY\DAM,DESTROYED,F-105,"FIGHTER, BOMBER"
USAF,1970-03-03,F-100,5300,TRENCH,DESTROYED,F-100,"FIGHTER, BOMBER"
VNAF,1972-09-19,A-37,B165,CAVES,DESTROYED,A-37,ATTACK
VNAF,1972-08-03,A-37,E432,FOX HOLES,DAMAGED,A-37,ATTACK
VNAF,1973-01-26,A-37,C202,CAVES,DESTROYED,A-37,ATTACK
VNAF,1971-07-08,A-37,B125,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-08-24,A-37,B119,AMMO STORAGE\DUMP,DESTROYED,A-37,ATTACK
VNAF,1972-01-14,A-37,E414,TUNNELS,DAMAGED,A-37,ATTACK
VNAF,1972-05-15,A-37,B120,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1972-07-22,A-37,E410,FOX HOLES,DAMAGED,A-37,ATTACK
RAAF,1970-04-10,B-57,5006,SAMPANS,DESTROYED,B-57,"TACTICAL, BOMBER"
VNAF,1972-12-07,A-37,C214,TRENCH,DESTROYED,A-37,ATTACK
USAF,1971-01-21,AC-130,1139,TRUCKS,DAMAGED,AC-130,ATTACK
USN,1972-06-23,A-7,3245,WATERCRAFT,DESTROYED,A-7,ATTACK
VNAF,1970-08-12,A-1,D074,COMMUNICATIONS,DESTROYED,A-1,FIGHTER
USAF,1970-06-20,A-37,5215,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1971-02-03,A-37,E940,TRENCH,DESTROYED,A-37,ATTACK
USAF,1972-04-23,OV-10,7658,SUPPLIES\RICE\WEAPONS,DAMAGED,OV-10,"ATTACK, OBSERV"
VNAF,1971-11-09,A-1,D317,ROADS\HIGHWAYS,DAMAGED,A-1,FIGHTER
USAF,1970-04-22,OV-10,8017,SAMPANS,DESTROYED,OV-10,"ATTACK, OBSERV"
USAF,1970-03-04,AC-130,1109,TRUCKS,DAMAGED,AC-130,ATTACK
USAF,1972-08-03,F-4,7146,TANK,DESTROYED,F-4,"FIGHTER, BOMBER"
USN,1972-05-05,A-7,1355,RAILROAD TRACK,DESTROYED,A-7,ATTACK
USAF,1970-03-20,F-4,4415,FOX HOLES,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1970-06-01,F-100,5222,TUNNELS,DAMAGED,F-100,"FIGHTER, BOMBER"
USAF,1972-01-20,F-4,8698,AAA\37MM  CR MORE,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-04-05,F-100,5393,MORTAR SITE,DESTROYED,F-100,"FIGHTER, BOMBER"
VNAF,1972-06-22,A-1,D344,AA SITE,DESTROYED,A-1,FIGHTER
USMC,1970-12-31,A-6,0923,TRUCKS,DESTROYED,A-6,ATTACK
USAF,1971-08-30,A-37,5504,SUPPLY STORAGE\DMPS,DESTROYED,A-37,ATTACK
USAF,1971-02-27,AC-130,1150,TRUCKS,DESTROYED,AC-130,ATTACK
VNAF,1971-10-14,F-5,D357,TRENCH,DESTROYED,F-5,FIGHTER
USAF,1971-04-26,F-4,8154,CAVES,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1970-10-11,A-1,1482,SUPPLIES\RICE\WEAPONS,DESTROYED,A-1,FIGHTER
USAF,1972-06-17,F-4,7015,HIGHER\REVETMENTS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-07-12,A-37,E414,TUNNELS,DESTROYED,A-37,ATTACK
USN,1972-10-09,F-8,9205,RAILROAD BRIDGE,DAMAGED,F-8,"CARRIER, FIGHTER"
USN,1972-10-09,F-8,9205,RAILROAD BRIDGE,DAMAGED,F-8,FIGHTER
VNAF,1971-11-29,A-37,E413,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-04-07,A-37,E424,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1972-02-24,A-37,E409,TUNNELS,DAMAGED,A-37,ATTACK
USN,1972-05-08,F-4,9253,BRIDGE\ANY,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1971-09-09,A-37,5212,TRUCKS,DESTROYED,A-37,ATTACK
USN,1972-08-31,A-4,9026,AAA\37MM  CR MORE,DESTROYED,A-4,FIGHTER
VNAF,1970-04-13,A-1,D914,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1972-02-06,F-4,7203,POL BARRELS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-01-17,F-4,0997,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1972-03-24,F-4,8002,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-03-07,A-37,E415,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1971-01-15,B-57,0993,TRUCKS,DESTROYED,B-57,"TACTICAL, BOMBER"
USAF,1973-07-31,F-4,6968,BULLDOZER,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-07-02,F-4,5905,FOX HOLES,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-07-26,A-37,E413,SAMPANS,DESTROYED,A-37,ATTACK
VNAF,1971-10-16,A-37,E437,FOX HOLES,DAMAGED,A-37,ATTACK
USAF,1971-05-10,AC-130,7938,TRUCKS,DAMAGED,AC-130,ATTACK
USAF,1971-08-18,A-37,5477,FOX HOLES,DAMAGED,A-37,ATTACK
USN,1972-07-05,A-6,1395,AAA\37MM  CR MORE,DESTROYED,A-6,ATTACK
USAF,1972-06-27,F-4,7135,BOATS\BARGES,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1973-02-25,F-4,6850,FOX HOLES,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1973-03-26,F-4,6687,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1971-03-25,AC-130,1150,TRUCKS,DAMAGED,AC-130,ATTACK
VNAF,1972-06-08,A-1,D320,AA SITE,DESTROYED,A-1,FIGHTER
VNAF,1972-10-19,A-1,D319,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1972-12-19,A-37,E456,FOX HOLES,DAMAGED,A-37,ATTACK
VNAF,1972-10-26,A-1,C604,CAVES,DESTROYED,A-1,FIGHTER
USN,1972-04-11,F-4,9201,AAA SITE UNK CAL,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-03-07,AC-130,1138,TRUCKS,DESTROYED,AC-130,ATTACK
VNAF,1972-04-26,A-1,D305,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1972-09-15,A-1,D309,TRENCH,DESTROYED,A-1,FIGHTER
USAF,1973-05-19,F-4,6605,BRIDGE\ANY,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-08-24,AC-130,8246,FOX HOLES,DAMAGED,AC-130,ATTACK
VNAF,1972-07-12,A-37,E416,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-07-16,A-1,D330,TUNNELS,DESTROYED,A-1,FIGHTER
USAF,1972-09-18,F-4,6006,TANK,DESTROYED,F-4,"FIGHTER, BOMBER"
USN,1972-10-20,A-7,9708,WAREHOUSE,DAMAGED,A-7,ATTACK
VNAF,1970-05-21,A-37,B041,TRENCH,DESTROYED,A-37,ATTACK
USAF,1972-10-04,OV-10,7706,BOATS\BARGES,DAMAGED,OV-10,"ATTACK, OBSERV"
VNAF,1972-05-04,A-37,B119,TRUCKS,DESTROYED,A-37,ATTACK
VNAF,1973-01-19,A-1,D343,CAVES,DESTROYED,A-1,FIGHTER
VNAF,1972-10-11,A-37,C209,CAVES,DESTROYED,A-37,ATTACK
VNAF,1972-12-07,A-37,E400,CAVES,DESTROYED,A-37,ATTACK
VNAF,1971-08-15,A-37,E429,TRENCH,DAMAGED,A-37,ATTACK
VNAF,1971-12-27,A-1,D323,TRENCH,DESTROYED,A-1,FIGHTER
USAF,1973-07-26,F-4,6629,CRATE\STORAGE CONT,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-12-03,AC-119,5231,TRUCKS,DESTROYED,AC-119,TRANSPORT
USN,1972-04-23,A-6,9720,AAA\37MM  CR MORE,DESTROYED,A-6,ATTACK
USAF,1970-04-30,AC-119,1534,TRUCKS,DAMAGED,AC-119,TRANSPORT
VNAF,1972-02-17,F-5,D372,FOX HOLES,DESTROYED,F-5,FIGHTER
USMC,1970-01-05,A-6,1015,TRUCKS,OBSERVED,A-6,ATTACK
VNAF,1972-05-29,A-37,B106,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1973-07-12,A-7,6727,FOX HOLES,DESTROYED,A-7,ATTACK
VNAF,1971-10-01,A-1,D322,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1972-05-29,A-1,C252,TRENCH,DESTROYED,A-1,FIGHTER
VNAF,1972-11-26,A-37,E401,CAVES,DESTROYED,A-37,ATTACK
USN,1972-12-24,A-7,9837,23MM GUN SITE,DAMAGED,A-7,ATTACK
VNAF,1972-06-13,A-37,B153,FOX HOLES,DESTROYED,A-37,ATTACK
USN,1972-06-29,A-7,1359,BRIDGE\ANY,DAMAGED,A-7,ATTACK
USAF,1970-02-16,A-1,1055,TRUCKS,DESTROYED,A-1,FIGHTER
VNAF,1971-11-26,A-1,D328,TRAILS,DAMAGED,A-1,FIGHTER
VNAF,1972-08-24,A-37,C215,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1970-03-12,F-5,E842,TRENCH,DAMAGED,F-5,FIGHTER
USAF,1973-03-15,A-7,6820,BRIDGE\ANY,DAMAGED,A-7,ATTACK
USAF,1972-11-09,F-4,6932,ROADS\HIGHWAYS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-07-29,F-4,8162,12.7 GUN SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1970-05-08,A-1,D525,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1972-11-14,F-4,1549,85MM GUN SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-07-05,A-37,5564,FERRY,DESTROYED,A-37,ATTACK
USAF,1972-06-23,AC-119,5265,TRUCKS,DAMAGED,AC-119,TRANSPORT
VNAF,1970-12-09,A-1,D936,MORTAR SITE,DESTROYED,A-1,FIGHTER
USAF,1971-01-08,F-105,0200,SAM LAUNCHER\EQMT,DAMAGED,F-105,"FIGHTER, BOMBER"
USN,1972-09-01,A-7,9761,WAREHOUSE,DESTROYED,A-7,ATTACK
USAF,1970-08-18,A-37,4836,CAUSEWAY\DAM,DAMAGED,A-37,ATTACK
USAF,1972-02-10,AC-130,5223,TRUCKS,DAMAGED,AC-130,ATTACK
USAF,1971-05-07,F-4,7309,57MM GUN SITE,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1971-05-27,A-37,E421,TRENCH,DESTROYED,A-37,ATTACK
USAF,1971-02-24,AC-130,1127,TRUCKS,DESTROYED,AC-130,ATTACK
USAF,1972-12-31,A-7,6024,CRATE\STORAGE CONT,DESTROYED,A-7,ATTACK
USAF,1970-02-07,AC-119,1122,TRUCKS,DAMAGED,AC-119,TRANSPORT
VNAF,1971-08-08,A-1,D338,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1971-12-28,A-37,E430,TUNNELS,DAMAGED,A-37,ATTACK
USAF,1970-02-11,AC-130,1104,TRUCKS,DAMAGED,AC-130,ATTACK
USAF,1970-05-06,F-100,5378,RAILROAD BRIDGE,DESTROYED,F-100,"FIGHTER, BOMBER"
VNAF,1971-11-28,A-37,E418,SAMPANS,DESTROYED,A-37,ATTACK
USAF,1971-08-02,F-4,7372,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1972-08-12,F-4,7045,COMMUNICATIONS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-12-17,A-37,E431,TUNNELS,DESTROYED,A-37,ATTACK
USN,1973-01-29,A-6,9813,TRUCKS,DAMAGED,A-6,ATTACK
USAF,1970-12-28,AC-119,1138,TRUCKS,DAMAGED,AC-119,TRANSPORT
USN,1971-07-01,A-7,6542,BRIDGES,DAMAGED,A-7,ATTACK
USAF,1973-03-30,F-4,1553,SAMPANS,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1972-01-28,F-4,8626,BULLDOZER,DESTROYED,F-4,"FIGHTER, BOMBER"
USN,1972-10-30,F-4,9400,BRIDGES,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1971-03-08,A-1,D267,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1971-08-09,OV-10,4153,BOATS\BARGES,DAMAGED,OV-10,"ATTACK, OBSERV"
USN,1971-07-10,A-7,8577,TRUCKS,DESTROYED,A-7,ATTACK
VNAF,1972-04-26,A-1,D351,ARTILLERY,DESTROYED,A-1,FIGHTER
VNAF,1971-01-10,A-37,E415,TRENCH,DESTROYED,A-37,ATTACK
USMC,1970-01-10,F-4,1058,MOVERS\ANY,OBSERVED,F-4,"FIGHTER, BOMBER"
USN,1971-02-14,A-7,1745,TRUCKS,DAMAGED,A-7,ATTACK
USMC,1972-12-26,A-4,8979,TRENCH,DESTROYED,A-4,FIGHTER
USAF,1971-01-01,A-37,4812,BOATS\BARGES,DESTROYED,A-37,ATTACK
USAF,1973-04-09,F-4,6805,WAREHOUSE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1970-04-08,A-37,C353,MORTAR SITE,DESTROYED,A-37,ATTACK
USAF,1973-05-27,F-4,6965,BRIDGE\ANY,DESTROYED,F-4,"FIGHTER, BOMBER"
USN,1972-08-12,A-7,9219,ARMORED VEHICLE,DAMAGED,A-7,ATTACK
USAF,1971-06-26,F-4,7003,BULLDOZER,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-09-19,A-37,C211,TRENCH,DESTROYED,A-37,ATTACK
USAF,1970-07-22,F-100,4968,CAVES,DESTROYED,F-100,"FIGHTER, BOMBER"
USAF,1971-03-14,AC-130,1123,TRUCKS,DAMAGED,AC-130,ATTACK
USAF,1971-07-09,AC-119,4242,SAMPANS,DAMAGED,AC-119,TRANSPORT
USAF,1970-05-30,F-4,1508,ARTILLERY,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1970-06-16,A-1,D542,TRENCH,DESTROYED,A-1,FIGHTER
USAF,1970-11-25,F-4,0659,BOATS\BARGES,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-06-20,A-37,B108,ARTILLERY,DESTROYED,A-37,ATTACK
USN,1972-06-20,A-4,9850,TRUCKS,DAMAGED,A-4,FIGHTER
VNAF,1972-05-12,A-37,B145,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1972-11-14,A-7,6003,TRUCKS,DAMAGED,A-7,ATTACK
USN,1972-05-22,A-4,3232,BRIDGES,DAMAGED,A-4,FIGHTER
VNAF,1972-01-22,A-37,E440,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-06-11,A-37,E429,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1973-07-02,AC-130,6501,MACHINE GUN (ANY),DESTROYED,AC-130,ATTACK
VNAF,1972-04-10,A-37,E415,TUNNELS,DESTROYED,A-37,ATTACK
USN,1972-10-14,A-7,9406,BRIDGES,DAMAGED,A-7,ATTACK
RAAF,1970-01-15,B-57,5023,SAMPANS,DESTROYED,B-57,"TACTICAL, BOMBER"
VNAF,1972-06-07,A-37,E443,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1973-01-25,A-37,E463,CAVES,DAMAGED,A-37,ATTACK
USN,1972-09-01,A-4,9773,ROAD\HIWAY\APPRCH,DAMAGED,A-4,FIGHTER
VNAF,1971-12-17,A-37,E439,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1972-08-04,A-1,D343,FOX HOLES,DESTROYED,A-1,FIGHTER
USN,1972-01-19,A-7,9002,23MM GUN SITE,DAMAGED,A-7,ATTACK
VNAF,1972-05-16,A-37,E403,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1970-05-17,F-4,5309,TRENCH,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-12-01,A-37,8709,SUPPLIES\RICE\WEAPONS,DESTROYED,A-37,ATTACK
VNAF,1972-07-21,A-37,E431,TUNNELS,DAMAGED,A-37,ATTACK
USN,1972-07-12,A-7,1381,WATERCRAFT,DESTROYED,A-7,ATTACK
VNAF,1972-11-06,F-5,D379,MORTAR SITE,DESTROYED,F-5,FIGHTER
USN,1971-08-05,A-6,8605,TRUCKS,DAMAGED,A-6,ATTACK
USAF,1973-04-23,AC-130,6535,TRUCKS,DAMAGED,AC-130,ATTACK
USN,1970-02-19,A-7,1856,TRUCKS,DESTROYED,A-7,ATTACK
USN,1972-04-14,F-4,9633,57MM GUN SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-09-22,A-37,E430,TRAILS,DESTROYED,A-37,ATTACK
USAF,1971-05-17,F-4,5829,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-12-15,A-1,C261,TRAILS,DAMAGED,A-1,FIGHTER
USAF,1970-01-24,F-100,5314,TUNNELS,DESTROYED,F-100,"FIGHTER, BOMBER"
VNAF,1972-07-03,A-37,B105,TRENCH,DESTROYED,A-37,ATTACK
USAF,1971-12-26,A-37,6230,12.7 GUN SITE,DAMAGED,A-37,ATTACK
USAF,1973-01-02,F-4,7246,CAVES,DESTROYED,F-4,"FIGHTER, BOMBER"
USN,1972-08-14,A-7,9855,BRIDGE\ANY,DAMAGED,A-7,ATTACK
USAF,1972-06-30,F-4,7140,BOATS\BARGES,DAMAGED,F-4,"FIGHTER, BOMBER"
USN,1971-08-02,A-7,6650,ARTILLERY,DESTROYED,A-7,ATTACK
VNAF,1972-10-15,A-37,E401,CAVES,DESTROYED,A-37,ATTACK
USAF,1971-07-24,AC-130,7435,WATERCRAFT,DAMAGED,AC-130,ATTACK
USAF,1973-01-21,F-4,7227,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-02-19,F-4,7880,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-02-11,F-4,1420,CAVES,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1970-07-23,F-100,5220,ARTILLERY,DESTROYED,F-100,"FIGHTER, BOMBER"
VNAF,1972-12-18,A-37,E401,CAVES,DESTROYED,A-37,ATTACK
USAF,1971-02-10,F-4,0903,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1970-01-17,A-1,7011,TRENCH,DESTROYED,A-1,FIGHTER
USAF,1972-01-29,AC-130,5213,TRUCKS,DAMAGED,AC-130,ATTACK
VNAF,1972-10-13,A-1,D313,TRENCH,DESTROYED,A-1,FIGHTER
VNAF,1973-01-23,A-37,E419,CAVES,DAMAGED,A-37,ATTACK
USAF,1972-07-22,F-4,6996,AAA\37MM  CR MORE,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1973-01-27,F-4,6741,BULLDOZER,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-05-02,AC-130,5237,TRUCKS,DAMAGED,AC-130,ATTACK
VNAF,1972-07-21,A-1,D339,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1972-07-09,F-4,7055,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1971-11-24,A-1,D340,TRAILS,DAMAGED,A-1,FIGHTER
USAF,1971-08-31,F-4,7201,SUPPLY STORAGE\DMPS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1970-02-24,A-37,7036,CAVES,DESTROYED,A-37,ATTACK
USN,1972-09-06,A-4,1578,23MM GUN SITE,DESTROYED,A-4,FIGHTER
VNAF,1972-12-22,A-37,E401,TRAILS,DESTROYED,A-37,ATTACK
USAF,1971-03-08,A-37,5075,BIVUOAC AREA,DESTROYED,A-37,ATTACK
USAF,1970-01-20,F-4,4110,RAILROAD BRIDGE,DESTROYED,F-4,"FIGHTER, BOMBER"
USN,1971-03-11,A-7,6664,DOWNED AIRCRAFT,DESTROYED,A-7,ATTACK
USMC,1971-02-17,A-6,0926,TRUCKS,DESTROYED,A-6,ATTACK
USAF,1970-11-29,F-100,5407,LANDING ZONE PREP,OBSERVED,F-100,"FIGHTER, BOMBER"
USN,1972-02-01,A-7,9022,BRIDGE\ANY,DAMAGED,A-7,ATTACK
VNAF,1972-11-13,A-1,C272,CAVES,DESTROYED,A-1,FIGHTER
USAF,1971-10-30,F-4,7211,AAA\37MM  CR MORE,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1973-05-09,F-4,6957,CONSTRUCTION VEHICLES,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-02-11,A-37,E424,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1972-07-02,A-37,B120,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1971-05-08,A-37,5524,VAN,DESTROYED,A-37,ATTACK
VNAF,1972-06-18,A-37,E414,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1972-05-16,A-37,E411,TRENCH,DESTROYED,A-37,ATTACK
USAF,1970-02-14,F-100,5317,RAILROAD BRIDGE,DESTROYED,F-100,"FIGHTER, BOMBER"
USAF,1970-02-27,A-1,1040,TRUCKS,OBSERVED,A-1,FIGHTER
USAF,1970-06-15,A-37,4236,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1970-05-04,AC-130,1100,TRUCKS,DAMAGED,AC-130,ATTACK
USAF,1972-06-12,F-4,7048,RADAR SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-12-08,A-37,E430,TUNNELS,DAMAGED,A-37,ATTACK
USMC,1973-01-15,A-4,8987,FOX HOLES,DAMAGED,A-4,FIGHTER
USAF,1973-03-13,A-7,6448,CRATE\STORAGE CONT,DESTROYED,A-7,ATTACK
VNAF,1971-11-15,A-1,D303,BRIDGES,DAMAGED,A-1,FIGHTER
VNAF,1970-05-24,A-37,B083,TRENCH,DESTROYED,A-37,ATTACK
USN,1972-03-19,A-7,9615,SUPPLIES\RICE\WEAPONS,DESTROYED,A-7,ATTACK
USN,1972-09-09,A-7,9807,ROAD\HIWAY\APPRCH,DAMAGED,A-7,ATTACK
USAF,1972-04-20,A-37,6205,AUTO WEAPONS\ZPU,DESTROYED,A-37,ATTACK
USAF,1970-04-16,AC-119,1122,TRUCKS,DAMAGED,AC-119,TRANSPORT
USN,1971-10-04,A-6,8613,TRUCKS,DESTROYED,A-6,ATTACK
VNAF,1970-12-15,A-1,D064,TRENCH,DESTROYED,A-1,FIGHTER
USAF,1973-02-13,A-7,6010,AMMO STORAGE\DUMP,DESTROYED,A-7,ATTACK
VNAF,1971-08-08,A-1,D330,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1972-12-22,A-37,C213,12.7 GUN SITE,DESTROYED,A-37,ATTACK
VNAF,1973-01-04,A-1,D344,MORTAR SITE,DESTROYED,A-1,FIGHTER
USAF,1971-02-05,F-4,0900,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1972-03-17,F-4,8623,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1972-09-27,F-4,6473,ROAD\HIWAY\APPRCH,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1970-04-05,F-4,0911,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-08-25,A-37,E422,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1971-12-16,A-37,E426,TUNNELS,DAMAGED,A-37,ATTACK
USAF,1972-08-04,A-37,6225,FOX HOLES,DAMAGED,A-37,ATTACK
USAF,1971-04-27,AC-130,7923,TRUCKS,DESTROYED,AC-130,ATTACK
VNAF,1971-12-31,A-37,E439,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1971-10-26,A-37,E405,TRENCH,DESTROYED,A-37,ATTACK
USAF,1971-07-31,F-4,7364,BULLDOZER,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1973-03-18,AC-130,6547,TRUCKS,DAMAGED,AC-130,ATTACK
VNAF,1972-03-25,A-37,E429,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1972-01-21,A-37,B117,TRAILS,DAMAGED,A-37,ATTACK
USN,1972-09-22,F-4,9604,AAA\37MM  CR MORE,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1973-01-10,F-4,7116,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1973-01-16,F-4,8644,TANK,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1972-04-17,F-4,7046,TANK,DAMAGED,F-4,"FIGHTER, BOMBER"
RLAF,1972-12-05,T-28,1406,TRUCKS,DESTROYED,T-28,TRAIN
USMC,1972-12-17,AH-1,1738,FLOATING BAGS\BOXES,DESTROYED,AH-1,HELICOPTER
USN,1972-05-21,A-7,1370,RAILROAD TRACK,DAMAGED,A-7,ATTACK
