milservice,msndate,valid_aircraft_root,missionid,tgttype,resultsbda,VALIDATED_ROOT,AIRCRAFT_APPLICATION
USAF,1971-02-28,F-4,0651,23MM GUN SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-03-30,A-1,D330,TUNNELS,DAMAGED,A-1,FIGHTER
USAF,1971-01-27,F-4,0973,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1970-01-14,A-1,7332,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1971-03-03,F-4,5412,MORTAR SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-12-09,A-37,E410,CAVES,DESTROYED,A-37,ATTACK
VNAF,1973-01-24,A-37,E420,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-10-12,A-37,B112,CAVES,DESTROYED,A-37,ATTACK
VNAF,1971-05-19,A-37,E415,TRENCH,DESTROYED,A-37,ATTACK
USAF,1973-07-08,A-7,6741,SUPPLIES\RICE\WEAPONS,DESTROYED,A-7,ATTACK
VNAF,1972-08-03,A-37,B120,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1971-06-25,F-4,5732,SUPPLIES\RICE\WEAPONS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-10-18,A-1,D310,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1972-07-17,A-1,D345,TRENCH,DESTROYED,A-1,FIGHTER
USMC,1970-04-08,A-6,0822,TRUCKS,DAMAGED,A-6,ATTACK
USAF,1970-12-25,F-4,0653,SUPPLIES\RICE\WEAPONS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-08-01,F-4,7365,12.7 GUN SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
RAAF,1970-11-19,B-57,6105,BRIDGES,DESTROYED,B-57,"TACTICAL, BOMBER"
VNAF,1972-11-04,A-37,E401,TRENCH,DESTROYED,A-37,ATTACK
USN,1972-08-12,A-4,9789,BRIDGES,DESTROYED,A-4,FIGHTER
USAF,1971-11-23,A-37,6217,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-12-17,A-37,E406,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1971-03-01,F-100,5344,FOX HOLES,DESTROYED,F-100,"FIGHTER, BOMBER"
VNAF,1972-10-15,F-5,D375,TRENCH,DESTROYED,F-5,FIGHTER
VNAF,1972-08-15,A-37,C218,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1971-12-24,A-37,B106,TRENCH,DESTROYED,A-37,ATTACK
USN,1972-06-08,A-7,1354,RAILROAD BRIDGE,DESTROYED,A-7,ATTACK
VNAF,1970-09-03,A-1,D618,TRENCH,DESTROYED,A-1,FIGHTER
USAF,1972-04-02,A-37,6505,SUPPLIES\RICE\WEAPONS,DAMAGED,A-37,ATTACK
USAF,1970-06-23,F-105,0422,SUPPLIES\RICE\WEAPONS,DAMAGED,F-105,"FIGHTER, BOMBER"
VNAF,1970-07-01,A-1,D969,TRENCH,DESTROYED,A-1,FIGHTER
USAF,1972-11-05,F-4,7028,WAREHOUSE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-11-24,A-37,E411,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1972-12-17,F-4,1554,BRIDGE\ANY,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-03-23,F-4,8001,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-05-25,A-37,B132,TRENCH,DESTROYED,A-37,ATTACK
USAF,1971-05-28,A-37,5495,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1973-01-23,F-5,D379,CAVES,DAMAGED,F-5,FIGHTER
VNAF,1971-02-07,A-1,D445,FOX HOLES,DESTROYED,A-1,FIGHTER
USN,1972-12-21,A-7,9504,FERRY CROSSING,DAMAGED,A-7,ATTACK
VNAF,1971-08-07,A-37,E407,FOX HOLES,DESTROYED,A-37,ATTACK
USN,1972-06-13,A-6,1389,TRAIN CAR ANY,DAMAGED,A-6,ATTACK
VNAF,1972-10-25,F-5,D373,FOX HOLES,DESTROYED,F-5,FIGHTER
VNAF,1972-06-09,A-37,E421,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1973-03-16,F-4,6695,CRATE\STORAGE CONT,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-11-01,A-37,E450,CAVES,DESTROYED,A-37,ATTACK
VNAF,1970-04-09,A-1,D841,ARTILLERY,DAMAGED,A-1,FIGHTER
RLAF,1971-11-15,T-28,1390,BOATS\BARGES,DESTROYED,T-28,TRAIN
USAF,1970-06-11,OV-10,7653,BRIDGE\ANY,DAMAGED,OV-10,"ATTACK, OBSERV"
USAF,1973-02-21,A-7,6024,CRATE\STORAGE CONT,DESTROYED,A-7,ATTACK
VNAF,1971-05-06,A-1,D097,BRIDGES,DESTROYED,A-1,FIGHTER
USAF,1971-11-14,F-4,8664,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1970-04-10,F-4,0404,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-06-07,A-37,E439,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1970-10-07,A-1,D418,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1973-01-02,A-1,C272,57MM GUN SITE,DESTROYED,A-1,FIGHTER
VNAF,1971-10-11,A-37,E418,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1973-01-10,A-37,B108,CAVES,DESTROYED,A-37,ATTACK
VNAF,1972-12-13,A-1,D304,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1971-09-29,A-37,E442,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1971-12-09,A-37,E407,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1973-05-14,A-7,6674,FORDS\SUBSURFACE BRIDGE,DAMAGED,A-7,ATTACK
USAF,1972-10-30,AC-119,5360,TRUCKS,DAMAGED,AC-119,TRANSPORT
VNAF,1972-03-14,A-37,E404,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1972-08-19,A-37,E418,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1971-01-30,A-37,E852,TRENCH,DESTROYED,A-37,ATTACK
USAF,1970-05-10,A-37,5820,CAVES,DESTROYED,A-37,ATTACK
RAAF,1970-01-02,B-57,5006,ARTILLERY,DAMAGED,B-57,"TACTICAL, BOMBER"
USAF,1972-09-13,F-4,6471,RAILROAD BRIDGE,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1970-01-14,F-100,5322,FOX HOLES,DESTROYED,F-100,"FIGHTER, BOMBER"
RLAF,1971-01-22,T-28,7803,BOATS\BARGES,DAMAGED,T-28,TRAIN
USN,1972-12-18,A-7,9235,BRIDGE\ANY,DESTROYED,A-7,ATTACK
VNAF,1971-02-15,A-37,E155,TRENCH,DESTROYED,A-37,ATTACK
