game_id,player_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
2018020292,8472382,1,1445,1,0,4,0,0,0,0,0,0,1,1,0,1,1,1,1268,177,0
2018020304,8472382,1,1282,0,0,2,3,0,0,2,0,0,0,1,0,0,4,0,1141,136,5
2018020319,8472382,1,1281,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1086,195,0
2018020334,8472382,1,1252,0,0,0,3,0,0,0,0,0,2,1,0,0,2,0,963,284,5
2018020359,8472382,1,1337,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,1072,265,0
2018020363,8472382,1,1308,0,0,2,1,0,0,0,0,0,1,0,0,0,2,1,960,348,0
2018020391,8472382,1,1157,0,0,2,0,0,0,0,0,0,0,1,0,0,3,-1,874,274,9
2018020400,8472382,1,1055,0,0,1,0,0,0,0,0,0,1,2,0,0,3,-1,909,120,26
2018020413,8472382,1,973,0,0,1,1,0,0,0,0,0,1,0,0,0,0,-2,833,140,0
2018020439,8472382,1,1382,1,0,2,2,0,0,0,0,0,0,0,0,0,2,2,1278,104,0
2018020458,8472382,1,1205,0,0,1,1,0,0,0,0,0,1,0,0,0,5,-3,1071,120,14
2018020464,8472382,1,1145,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1059,86,0
2018020487,8472382,1,1276,0,0,1,1,0,0,2,0,0,0,1,0,0,2,1,1125,122,29
2018020502,8472382,1,1322,0,0,1,1,0,0,0,0,0,0,1,0,0,5,0,1109,203,10
2018020518,8472382,1,1142,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-3,918,224,0
2018020535,8472382,1,1210,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,906,304,0
2018020542,8472382,1,1298,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,953,345,0
2018020559,8472382,1,1257,0,0,3,0,0,0,0,0,0,1,2,0,0,2,0,974,283,0
2018020567,8472382,1,1308,2,0,1,1,0,1,2,0,0,1,0,0,0,6,3,1170,101,37
2018020583,8472382,1,1513,0,1,2,1,0,0,0,0,0,1,1,0,0,2,2,989,524,0
2018020600,8472382,1,1286,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,912,374,0
2018020618,8472382,1,728,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,553,175,0
2018020634,8472382,1,1457,0,0,2,1,0,0,0,0,0,0,1,0,0,2,0,1020,437,0
2018020646,8472382,1,1255,0,0,0,3,0,0,0,0,0,1,0,0,0,1,-1,1081,174,0
2018020658,8472382,1,1207,0,0,0,1,0,0,0,0,0,0,0,0,0,2,-2,1086,106,15
2018020672,8472382,1,1308,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1190,112,6
2018020687,8472382,1,1206,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,944,262,0
2018020707,8472382,1,1404,0,0,1,1,0,0,0,0,0,1,2,0,0,7,2,1072,332,0
2018020713,8472382,1,1196,0,0,0,1,0,0,0,0,0,0,0,0,0,2,-2,981,210,5
2018020727,8472382,1,1410,0,1,5,0,0,0,0,0,0,0,0,0,0,5,0,1187,223,0
2018020740,8472382,1,970,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,826,144,0
2018020772,8472382,1,1381,1,0,3,2,0,1,0,0,0,0,0,0,0,2,1,810,512,59
2018020779,8472382,1,1242,0,0,0,1,0,0,0,0,0,0,1,0,0,2,-1,1036,204,2
2018020790,8472382,1,1229,0,0,2,0,0,0,0,0,0,0,2,0,0,4,-1,973,230,26
2018020812,8472382,1,1133,0,0,3,0,0,0,0,0,0,2,0,0,0,3,-1,935,190,8
2018020825,8472382,1,1229,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,928,295,6
2018020840,8472382,1,1301,0,0,1,0,0,0,0,0,0,0,0,0,0,5,-1,1105,193,3
2018020855,8472382,1,1388,0,0,3,1,0,0,0,0,0,0,2,0,0,4,0,871,509,8
2018020869,8472382,1,1258,0,0,3,0,0,0,0,0,0,0,1,0,0,2,-3,1063,195,0
2018020883,8472382,1,1211,0,0,1,1,0,0,0,0,0,1,0,0,0,3,-2,952,259,0
2018020890,8472382,1,1128,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1084,29,15
2018020906,8472382,1,1269,2,0,0,2,0,0,0,0,0,0,1,0,1,1,3,1016,253,0
2018020917,8472382,1,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1136,173,11
2018020931,8472382,1,1316,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,875,438,3
2018020946,8472382,1,1198,0,1,3,0,0,0,0,0,0,1,0,0,0,2,1,893,305,0
2018020963,8472382,1,1408,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,973,420,15
2018020980,8472382,1,1348,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1051,296,1
2018020992,8472382,1,1256,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,857,399,0
2018021001,8472382,1,1151,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,1133,14,4
2018021020,8472382,1,1377,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1250,120,7
2018021045,8472382,1,1091,0,0,2,1,0,0,0,0,0,0,0,0,0,3,-1,694,389,8
2018021053,8472382,1,1368,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,784,584,0
2018021078,8472382,1,1058,1,0,1,1,0,0,0,0,0,0,2,0,1,5,0,947,111,0
2018021081,8472382,1,1325,2,0,1,0,0,0,0,0,0,1,2,0,1,7,1,888,437,0
2018021098,8472382,1,1337,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,870,467,0
2018021111,8472382,1,1169,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,871,291,7
2018021122,8472382,1,1095,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,975,120,0
2018021137,8472382,1,1371,0,0,0,0,0,0,0,0,0,0,1,0,0,5,-2,1031,340,0
2018021150,8472382,1,1210,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,899,311,0
2018021170,8472382,1,1325,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1126,199,0
2018021199,8472382,1,1048,0,0,1,1,0,0,0,0,0,0,0,0,0,2,-1,928,120,0
2018021207,8472382,1,1199,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1093,106,0
2018021222,8472382,1,1066,0,0,2,0,0,0,2,0,0,2,1,0,0,0,0,943,120,3
2018021247,8472382,1,1062,0,1,2,2,0,0,2,0,0,1,1,0,0,2,0,962,100,0
2018021262,8472382,1,1259,0,0,1,1,0,0,0,0,0,1,0,0,0,3,-2,915,251,93
2018020004,8474641,24,786,1,1,1,0,1,0,0,4,12,2,0,0,0,1,1,656,70,60
2018020027,8474641,24,1132,0,0,1,0,0,0,0,7,18,0,0,0,0,2,1,910,86,136
2018020035,8474641,24,1020,1,0,2,3,0,0,0,10,22,0,0,0,0,2,0,876,0,144
2018020044,8474641,24,904,0,0,3,1,0,0,2,4,9,0,0,0,0,0,0,767,0,137
2018020067,8474641,24,1185,0,1,1,1,1,0,0,4,14,0,1,0,0,1,-1,1005,0,180
2018020072,8474641,24,1005,0,0,0,0,0,0,0,8,20,0,0,0,0,3,0,860,36,109
